Centre,Province,Country,Web,Phone,Address,lat,lon,marker-color,marker-symbol,marker-size,image,Replied
Maison de Ben Smen,PRO,Algeria,bit.ly/2Fekx1G,558 511 863 ,"1 impasse Ahmed Kara, B.P. 59 DZ 16012 Said Hamdine",36.7339979,3.033837,#000080,,small,pro_maison.jpg,2
Exerzitienhaus Marienheim,ASR,Austria,www.marienschwestern.at,,"Exerzitienhaus „Marienheim“, Fischereckstraße 23, 4645 Grünau im Almtal",47.8567964,13.9605088,#000080,,,asr_exerzi.jpg,
Ignatiushaus der Jesuiten,ASR,Austria,ignatius.de/jesuiten/ignatiushaus,,"Ignatiushaus der Jesuiten, Domgasse 3, 4020 Linz",48.3049973,14.2878588,#000080,,,asr_ignati.jpg,
Kardinal König Haus - Stille in Wien,ASR,Austria,www.kardinal-koenig-haus.at,,"Kardinal König Haus, Kardinal-König-Platz 3, 1130 Wien",48.1775504,16.2831798,#000080,,,asr_kardin.jpg,3
La Pairelle,EOF,Belgium,www.lapairelle.be,,"Rue Marcel Lecomte 25, 5100 Namur, Belgium",50.4344104,4.8592537,#FF0000,,,eof_lapair.jpg,
Oude Abdij Drongen (Old Abbey Drongen),ELC,Belgium,www.oudeabdij.be,+32 9 226 52 26,Oude Abdij Drongen,51.049832,3.663736,#000080,,,elc_oudeab.jpg,4
Domus Exercitiorum,CRO,Croatia,www.isusovci-opatija.hr, (051) 271 602,"Park Sv. Jakova 2,HR 51410 OPATIJA",45.3340252,14.3069111,#000080,,,cro_domuse.jpg,5
Centar Ignacije,CRO,Croatia,www.ignacije.hr,00 385 91 2030 009,"Palmoticeva 31, Zagreb, HR-10000",45.8090684,15.9819981,#000080,,,cro_centar.jpg,
Kolínský Klášter,BOH,Czechia,www.kolinskyklaster.org,,"Kutnohorská 26, 280 02 Kolín, Praze",50.0263215,15.2034721,,,,boh_kolíns.jpg,
Maison de Retraites de Mariout,PRO,Egypt,jespro.org,,"Mohamed Rachid Rd, Ekeingy Maryout (Sharq WA Gharb), Qesm Al Amereyah, Alexandria Governorate",31.0020518,29.750835,#000080,,,pro_maison.jpg,6
Jésuites en Provence,EOF,France,jesuitesenprovence.com,,13000 Marseille et le Sud-Est de la France,43.2968723,5.3988067,#FF0000,,,eof_jésuit.jpg,
Le Châtelard,EOF,France,www.chatelard-sj.org,,69340 Francheville (près de Lyon),45.7339943,4.7548539,#FF0000,,,eof_lechât.jpg,
Les Côteaux-Païs,EOF,France,coteaux-pais.net,,31000 Toulouse et le Sud-Ouest de la France,43.5985412,1.4567445,#FF0000,,,eof_lescôt.jpg,
Manrèse,EOF,France,www.manrese.com,,5 rue Fauveau - 92140 Clamart France,48.7983321,2.2589969,#FF0000,,,eof_manrès.jpg,7
Penboc'h,EOF,France,www.penboch.fr,,"56610 Arradon (près de Vannes, au bord du Golf du Morbihan)",47.62172,-2.840289,#FF0000,,,eof_penboc.jpg,
Ashram Jesu,GER,Germany,ashram-jesu.de, +41 26 409 75 00,"Hirsenmühle, Oberziegenfurter Mühle 1, 65589 Hadamar",50.4788625,8.0516937,#808000,,,ger_ashram.jpg,
Exerzitienhaus - Stanislauskolleg HochElten,GER,Germany,www.stanislauskolleg.de, 02828 90252-0,"Stanislauskolleg HochElten, Freiheit 2, 46446 Emmerich am Rhein",51.8639785,6.1709472,#808000,,,ger_exerzi.jpg,
Freiraum – Jesuiten,GER,Germany,freiraum-jesuiten.org, 0341 / 4225009,"Floßplatz 32, 04107 Leipzig",51.330845,12.3710278,#808000,,,ger_freira.jpg,
Haus Gries,GER,Germany,www.haus-gries.de, 09260/220,"Gries 6, 96352 Wilhelmsthal",50.2905125,11.3420094,#808000,,,ger_hausgr.jpg,
Haus HohenEichen,GER,Germany,www.haus-hoheneichen.de,0351 26164-10,"Exerzitienhaus, Dresdner Straße 73, 01326 Dresden",51.02193,13.85908,#808000,,,ger_hausho.jpg,
Zukunftswerkstatt,GER,Germany,zukunftswerkstatt-sj.de, +49 69 6061 685,"Offenbacher Landstraße 224, 60 599 Frankfurt",50.0991294,8.7134007,#808000,,,ger_zukunf.jpg,
Manréza Ignáci Lelkiségi Központ,HUN,Hungary,manreza.hu/,,"Pilisszentkereszt-Dobogókő, Téry Ödön u. 6, 2099 Hungary",47.71923,18.890361,#0000FF,,,hun_manréz.jpg,8
Peter Faber Residence and Centre of Spirituality,HIB,Ireland,bit.ly/2z8lSS6,,"28 Brookvale Avenue, Belfast BT14 6BW",54.6177187,-5.9408443,#008000,,small,hib_peterf.jpg,#N/A
Manresa Jesuit Centre of Spirituality,HIB,Ireland,www.manresa.ie,+353 1 833 1352,"426 Clontarf Road, Dollymount, Dublin, D03 FP52",53.3666925,-6.1780087,#008000,,,hib_manres.jpg,10
